Year,Country,crime_index,foreign_investment,gepu,cpi_score,log_fdi,crime_index_std,cpi_score_std,gepu_std,foreign_investment_std,fdi_lag1,crime_lag1,cpi_lag1,fdi_change,crime_change,is_oecd,is_brics,development_level,time_trend,years_since_2012,crime_corruption_int,gepu_corruption_int,crime_corruption_ratio
2024,France,55.8,52052548617.7634,274.0296325683594,67.0,24.67551959560718,1.0437414285953304,0.36047395320962095,0.6882694306576786,-0.14222457147228904,18051596853.4685,55.8,71.0,188.35426051386602,0.0,1,0,Advanced,13,12,3738.6,18359.985382080078,1.690909090909091
2025,France,55.8,,563.138916015625,66.0,,1.0437414285953304,0.3098049236420035,2.9817502227955344,,52052548617.7634,55.8,67.0,,0.0,1,0,Advanced,14,13,3682.7999999999997,37167.16845703125,1.6411764705882352
2012,Germany,38.4,65443087632.2705,193.7616729736328,79.0,24.904446710772557,-0.5191760290259047,0.9685023080210298,0.05151013548899901,0.008757054627102311,,,,,,1,0,Advanced,1,0,3033.6,15307.172164916992,1.8285714285714285
2013,Germany,38.4,67199694458.9368,198.8842010498047,78.0,24.930934537723168,-0.5191760290259047,0.9178332784534123,0.09214674047726472,0.028563229331499133,65443087632.2705,38.4,79.0,2.6841747390294213,0.0,1,0,Advanced,2,1,2995.2,15512.967681884766,1.7454545454545454
2014,Germany,38.4,17356720097.6154,106.18580627441406,79.0,23.57724559385909,-0.5191760290259047,0.9685023080210298,-0.6432222014825315,-0.5334285852287439,67199694458.9368,38.4,78.0,-74.17143003794246,0.0,1,0,Advanced,3,2,3033.6,8388.678695678711,1.8285714285714285
2015,Germany,38.4,62418993509.2489,201.27247619628903,81.0,24.85713544916768,-0.5191760290259047,1.0698403671562646,0.11109273594821673,-0.025340351584608747,17356720097.6154,38.4,79.0,259.6243596612733,0.0,1,0,Advanced,4,3,3110.4,16303.070571899412,2.0210526315789474
2016,Germany,38.4,58132711370.7802,203.99563598632807,81.0,24.785994360798817,-0.5191760290259047,1.0698403671562646,0.13269534447709808,-0.07366923860593547,62418993509.2489,38.4,81.0,-6.86695170410524,0.0,1,0,Advanced,5,4,3110.4,16523.646514892574,2.0210526315789474
2017,Germany,38.4,108786501529.106,335.6415100097656,81.0,25.412653096843258,-0.5191760290259047,1.0698403671562646,1.1770315201849473,0.4974647238070694,58132711370.7802,38.4,81.0,87.13474559142342,0.0,1,0,Advanced,6,5,3110.4,27186.962310791016,2.0210526315789474
2018,Germany,38.4,162250938125.842,150.0355682373047,80.0,25.81240997449135,-0.5191760290259047,1.0191713375886473,-0.29536555155917893,1.1002894172057274,108786501529.106,38.4,81.0,49.14620457983154,0.0,1,0,Advanced,7,6,3072.0,12002.845458984375,1.92
2019,Germany,38.4,75463438450.8916,168.0872344970703,80.0,25.04691411698158,-0.5191760290259047,1.0191713375886473,-0.15216312879641364,0.12173897858421416,162250938125.842,38.4,80.0,-53.489675115245205,0.0,1,0,Advanced,8,7,3072.0,13446.978759765625,1.92
2020,Germany,38.4,176781024357.228,131.50759887695312,80.0,25.89817765309364,-0.5191760290259047,1.0191713375886473,-0.44234644867394063,1.2641197188987607,75463438450.8916,38.4,80.0,134.26049486503265,0.0,1,0,Advanced,9,8,3072.0,10520.60791015625,1.92
2021,Germany,38.4,127609826748.268,210.23208618164065,80.0,25.57224321702558,-0.5191760290259047,1.0191713375886473,0.18216860442754423,0.7097023527111642,176781024357.228,38.4,80.0,-27.814748663068002,0.0,1,0,Advanced,10,9,3072.0,16818.566894531254,1.92
2022,Germany,38.4,87215414562.4594,478.20452880859375,79.0,25.191646924744195,-0.5191760290259047,0.9685023080210298,2.307972531091433,0.2542454042989239,127609826748.268,38.4,80.0,-31.65462505132417,0.0,1,0,Advanced,11,10,3033.6,37778.157775878906,1.8285714285714285
2023,Germany,38.4,77438957875.1405,520.1256713867188,78.0,25.072755822633333,-0.5191760290259047,0.9178332784534123,2.6405295978898065,0.14401344675468097,87215414562.4594,38.4,79.0,-11.209551357825031,0.0,1,0,Advanced,12,11,2995.2,40569.80236816406,1.7454545454545454
2024,Germany,38.4,47599143488.7827,729.8969116210938,75.0,24.586080604088757,-0.5191760290259047,0.7658261897505602,4.304628047043308,-0.19243781138178234,77438957875.1405,38.4,78.0,-38.533336714667996,0.0,1,0,Advanced,13,12,2880.0,54742.26837158203,1.536
2025,Germany,38.4,,1009.0558471679688,77.0,,-0.5191760290259047,0.867164248885795,6.519173526165531,,47599143488.7827,38.4,75.0,,0.0,1,0,Advanced,14,13,2956.7999999999997,77697.3002319336,1.6695652173913043
